Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
baidu:(116.423351343,39.8523369495)---->origin:(116.410687907,39.8447136127)
baidu:(116.365021399,39.8513573567)---->origin:(116.352269003,39.8442001176)
baidu:(116.299188296,39.8411658489)---->origin:(116.286744413,39.8336557096)
baidu:(116.438105266,39.8659857661)---->origin:(116.425357823,39.8586194824)
baidu:(116.448452121,39.8641569545)---->origin:(116.435662852,39.8569792142)
baidu:(116.326483074,39.8955402115)---->origin:(116.313813956,39.8884274259)
baidu:(116.165765709,39.8165778246)---->origin:(116.153187424,39.8088995231)
baidu:(116.424218298,39.8123557761)---->origin:(116.411580844,39.8047564763)
baidu:(116.281060292,39.8712015152)---->origin:(116.268629276,39.8636399859)
baidu:(116.401144283,39.8136018066)---->origin:(116.388551188,39.8058787664)
baidu:(116.408950671,39.8224158607)---->origin:(116.396355654,39.8146776887)
baidu:(116.441926771,39.8721413388)---->origin:(116.429158483,39.8648467661)
baidu:(116.349061584,39.8487258545)---->origin:(116.3362959,39.8417470251)
baidu:(116.429744289,39.8091839298)---->origin:(116.417080216,39.8016759206)
baidu:(116.286770298,39.8751662493)---->origin:(116.27433861,39.8675856388)
baidu:(116.362509354,39.851940442)---->origin:(116.349749173,39.8448233439)
baidu:(116.301497605,39.8754293639)---->origin:(116.289012987,39.8679340427)
baidu:(116.343542469,39.8290245091)---->origin:(116.330809585,39.8220623326)
baidu:(116.288875197,39.8604762786)---->origin:(116.276448262,39.852899163)
baidu:(116.300043295,39.8670316389)---->origin:(116.287570068,39.8595213581)
baidu:(116.327270883,39.8922708649)---->origin:(116.31459365,39.8851682249)
baidu:(116.323490536,39.894002802)---->origin:(116.310843635,39.886845751)
baidu:(116.440270707,39.8684852046)---->origin:(116.427511497,39.861159895)
baidu:(116.424859549,39.804578369)---->origin:(116.412217263,39.796988452)
baidu:(116.298798047,39.8839131325)---->origin:(116.286328973,39.8763891825)
baidu:(116.375102583,39.8614447602)---->origin:(116.3623801,39.8540961448)
baidu:(116.425874082,39.7996520874)---->origin:(116.413224538,39.7920774173)
baidu:(116.438861453,39.8552603772)---->origin:(116.426119281,39.8479118451)
baidu:(116.197285123,39.8146119558)---->origin:(116.184670392,39.807354184)
baidu:(116.39727157,39.8511196675)---->origin:(116.384643981,39.8434148452)
baidu:(116.385516059,39.8458715626)---->origin:(116.372855988,39.8383305276)
baidu:(116.214719347,39.8315121266)---->origin:(116.202048632,39.8245504967)
baidu:(116.4409348,39.8721687858)---->origin:(116.428170981,39.8648555202)
baidu:(116.290405495,39.8562934061)---->origin:(116.277979214,39.8487206967)
baidu:(116.393782393,39.8590475153)---->origin:(116.381138314,39.8513773069)
baidu:(116.29396981,39.8443280557)---->origin:(116.281545724,39.8367751589)
baidu:(116.448935583,39.8719969498)---->origin:(116.436140692,39.8648255173)
baidu:(116.29126482,39.8575881757)---->origin:(116.278835165,39.8500176571)
baidu:(116.437731445,39.8751654497)---->origin:(116.424982136,39.8677906035)
baidu:(116.326759214,39.8535110448)---->origin:(116.314095914,39.8464052267)
baidu:(116.305361612,39.8400780097)---->origin:(116.292881193,39.8326423689)
baidu:(116.412448417,39.8638960116)---->origin:(116.3998098,39.8561570717)
baidu:(116.288530051,39.8763261658)---->origin:(116.276095884,39.8687457673)
baidu:(116.448062127,39.8641547655)---->origin:(116.435274109,39.8569706357)
baidu:(116.448724531,39.8720100297)---->origin:(116.435930282,39.8648352006)
baidu:(116.291621787,39.8315532293)---->origin:(116.279218062,39.8239937785)
baidu:(116.316083277,39.898863063)---->origin:(116.303500434,39.8915875763)
baidu:(116.291768171,39.8317405419)---->origin:(116.279363879,39.8241815934)
baidu:(116.402532209,39.8486828979)---->origin:(116.389914581,39.8409431801)
baidu:(116.292407382,39.8303277702)---->origin:(116.280002372,39.8227719327)
baidu:(116.437009958,39.8650234589)---->origin:(116.42426853,39.8576363178)
baidu:(116.392646072,39.8579359268)---->origin:(116.379999636,39.8502804158)
baidu:(116.326510728,39.8879227633)---->origin:(116.313836876,39.8808088561)
baidu:(116.377517982,39.8582713851)---->origin:(116.364809195,39.8508761585)
baidu:(116.426004346,39.7989002719)---->origin:(116.413353719,39.7913275589)
baidu:(116.401496152,39.8605321337)---->origin:(116.388865796,39.8527931381)
baidu:(116.175187751,39.867474147)---->origin:(116.162580861,39.8598322042)
baidu:(116.315568831,39.8919584873)---->origin:(116.302985294,39.8846728205)
baidu:(116.323929105,39.8843345703)---->origin:(116.311273928,39.8771825981)
baidu:(116.309816996,39.8956764571)---->origin:(116.297281805,39.888298275)
baidu:(116.450476548,39.8651883811)---->origin:(116.437680703,39.8580422352)
baidu:(116.396339729,39.8391295572)---->origin:(116.383723275,39.8314384762)
baidu:(116.393661997,39.8441335688)---->origin:(116.381033206,39.8364704517)
baidu:(116.354703903,39.87762115)---->origin:(116.341915507,39.8705960701)
baidu:(116.44609739,39.8532552424)---->origin:(116.433326001,39.8460413281)
baidu:(116.247482258,39.8403437542)---->origin:(116.234903309,39.8332885602)
baidu:(116.362853742,39.8519501637)---->origin:(116.350094447,39.844827747)
baidu:(116.29687664,39.851036301)---->origin:(116.284433283,39.8435011879)
baidu:(116.44564169,39.8671860967)---->origin:(116.432860273,39.8599599942)
baidu:(116.42017039,39.8661332335)---->origin:(116.40750778,39.8584630124)
baidu:(116.27575248,39.8871293247)---->origin:(116.263311169,39.8796108672)
baidu:(116.29637236,39.824586316)---->origin:(116.283956416,39.8170564169)
baidu:(116.421884451,39.8450954415)---->origin:(116.409235121,39.8374544576)
baidu:(116.445679488,39.8686656975)---->origin:(116.432897136,39.8614399702)
baidu:(116.448935583,39.8719969498)---->origin:(116.436140692,39.8648255173)
baidu:(116.339517357,39.8243738728)---->origin:(116.326803162,39.8174016493)
baidu:(116.422152922,39.848402043)---->origin:(116.409498811,39.8407633752)
baidu:(116.342210388,39.8282800639)---->origin:(116.329482667,39.8213160463)
baidu:(116.445542913,39.8691869742)---->origin:(116.432760825,39.8619587518)
baidu:(116.448935583,39.8719969498)---->origin:(116.436140692,39.8648255173)
baidu:(116.329029533,39.8963903828)---->origin:(116.316342244,39.8893117733)
baidu:(116.439880729,39.8753546827)---->origin:(116.427121033,39.8680210706)
baidu:(116.315812777,39.8567871235)---->origin:(116.303234175,39.8495082468)
baidu:(116.214719347,39.8315121266)---->origin:(116.202048632,39.8245504967)
baidu:(116.380001058,39.8748071618)---->origin:(116.36729401,39.8673599929)
baidu:(116.393794099,39.8664702217)---->origin:(116.381144464,39.858797852)
baidu:(116.326510728,39.8879227633)---->origin:(116.313836876,39.8808088561)
baidu:(116.273130445,39.8583825582)---->origin:(116.260688157,39.850896638)
baidu:(116.170171042,39.817422117)---->origin:(116.157602437,39.8097576831)
baidu:(116.329029533,39.8963903828)---->origin:(116.316342244,39.8893117733)
baidu:(116.376930789,39.8526660171)---->origin:(116.364224889,39.8452843395)
baidu:(116.437575491,39.8756342845)---->origin:(116.424826875,39.8682564063)
baidu:(116.32384865,39.8898448424)---->origin:(116.311196393,39.8826923989)
baidu:(116.319166899,39.864212306)---->origin:(116.306554507,39.8569866117)
baidu:(116.14374153,39.8151695609)---->origin:(116.1310353,39.8076770416)
baidu:(116.425874082,39.7996520874)---->origin:(116.413224538,39.7920774173)
baidu:(116.270598037,39.8945263942)---->origin:(116.258141578,39.8870718315)
baidu:(116.28623712,39.8790232509)---->origin:(116.273805661,39.8714429924)
baidu:(116.273581024,39.8877102485)---->origin:(116.261132795,39.8802159429)
baidu:(116.371543673,39.8665652968)---->origin:(116.358802101,39.8592848342)
baidu:(116.315568831,39.8919584873)---->origin:(116.302985294,39.8846728205)
baidu:(116.270737073,39.9015371998)---->origin:(116.258286694,39.8940825539)
baidu:(116.288669454,39.8548531563)---->origin:(116.276248098,39.8472776799)
